,cocacola,logistic_water,logistic_soda,case
01R71076682,True,False,True,Case 1
01R71076683,True,False,True,Case 1
01R71076685,True,False,True,Case 1
01R71076687,True,False,True,Case 1
01R71076688,True,False,True,Case 1
01R71076691,True,False,True,Case 1
01R71076692,True,False,True,Case 1
01R71076694,True,False,True,Case 1
01R71076695,True,False,True,Case 1
01R71076696,True,False,True,Case 1
01R71076701,True,False,True,Case 1
01R71076702,True,False,True,Case 1
01R71076703,True,False,True,Case 1
01R71076704,True,False,True,Case 1
01R71076706,True,True,False,Case 1
01R71076708,True,False,True,Case 1
01R71076710,True,True,False,Case 1
01R71076712,True,True,False,Case 1
01R71076714,True,True,False,Case 1
01R71076717,True,True,False,Case 1
01R71076719,True,False,True,Case 1
01R71076721,True,False,True,Case 1
01R71076723,True,False,True,Case 1
01R71076744,True,True,False,Case 1
01R71076745,True,True,False,Case 1
01R71076746,True,True,False,Case 1
01R71076747,True,False,True,Case 1
01R71076749,True,False,True,Case 1
01R71076750,True,True,False,Case 1
01R71076751,True,True,False,Case 1
01R71076756,True,True,False,Case 1
01R71076759,True,False,True,Case 1
01R71076760,True,False,True,Case 1
01R71076761,True,False,True,Case 1
01R71076762,True,True,False,Case 1
01R71076763,True,False,True,Case 1
01R71076764,True,False,True,Case 1
01R71076765,True,False,True,Case 1
01R71076773,True,False,True,Case 1
01R71076774,True,True,False,Case 1
01R71076775,True,False,True,Case 1
01R71076776,True,True,False,Case 1
01R71076777,True,True,False,Case 1
01R71076778,True,False,True,Case 1
01R71076779,True,True,False,Case 1
01R71076780,True,True,False,Case 1
01R71076781,True,True,False,Case 1
01R71076783,True,True,False,Case 1
01R71076785,True,True,False,Case 1
01R71076787,True,True,False,Case 1
01R71076788,True,True,False,Case 1
01R71076793,True,False,False,Case 2
01R71076795,True,True,False,Case 1
01R71076796,True,False,True,Case 1
01R71076797,True,False,True,Case 1
01R71076798,True,False,True,Case 1
01R71076800,True,True,False,Case 1
01R71076803,True,True,False,Case 1
01R71076851,True,True,False,Case 1
01R71076852,True,False,True,Case 1
01R71076853,True,False,True,Case 1
01R71076854,True,False,True,Case 1
01R71076875,True,True,False,Case 1
01R71076876,True,True,False,Case 1
01R71076878,True,False,True,Case 1
01R71076879,True,True,False,Case 1
01R71076880,True,True,False,Case 1
01R71076883,True,False,True,Case 1
01R71076884,True,True,False,Case 1
01R71076885,True,False,True,Case 1
01R71076886,True,True,False,Case 1
01R71076889,True,True,False,Case 1
01R71076892,True,True,False,Case 1
01R71076896,True,False,True,Case 1
01R71076899,True,True,False,Case 1
01R71076901,True,True,False,Case 1
01R71076902,True,False,True,Case 1
01R71076903,True,True,False,Case 1
01R71076905,True,True,False,Case 1
01R71076907,True,True,False,Case 1
01R71076908,True,True,False,Case 1
01R71076909,True,True,False,Case 1
