fecha,remision,origen,destino,placa,kilometros
1/5/2020,14R70228649,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-111,61
2/5/2020,06R70123574,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-111,62
2/5/2020,06R70123576,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-111,62
2/5/2020,14R70228747,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-111,61
3/5/2020,04R70262456,04 - SANTA ANA                     ,14 - NIXAPA                        ,C-119-111,55
3/5/2020,05R70242005,05 - SAN MIGUEL                    ,14 - NIXAPA                        ,C-119-111,138
3/5/2020,14R70228675,14 - NIXAPA                        ,05 - SAN MIGUEL                    ,C-119-111,143
3/5/2020,14R70228795,14 - NIXAPA                        ,04 - SANTA ANA                     ,C-119-111,54
4/5/2020,01R71087956,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
4/5/2020,14R70228824,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
5/5/2020,05R70242094,05 - SAN MIGUEL                    ,14 - NIXAPA                        ,C-119-111,138
5/5/2020,14R70228697,14 - NIXAPA                        ,05 - SAN MIGUEL                    ,C-119-111,143
5/5/2020,14R70228875,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
6/5/2020,01R71088147,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
6/5/2020,01R71088226,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
6/5/2020,08R70012455,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-111,21
6/5/2020,14R70228896,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-111,20
6/5/2020,14R70228942,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
6/5/2020,14R70228993,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
7/5/2020,01R71088235,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-111,19
7/5/2020,01R71088287,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
7/5/2020,14R70228982,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
7/5/2020,14R70228984,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
7/5/2020,95R70007471,AW - WALLMART                      ,14 - NIXAPA                        ,C-119-111,8
8/5/2020,01R71088304,01 - PLANTA SOYAPANGO              ,11 - CHALATENANGO                  ,C-119-111,52
8/5/2020,01R71088327,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
8/5/2020,11R70057548,11 - CHALATENANGO                  ,01 - PLANTA SOYAPANGO              ,C-119-111,52
1/5/2020,01R71087678,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
1/5/2020,14R70228734,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
1/5/2020,14R70228740,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
2/5/2020,01R71087700,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
2/5/2020,01R71087710,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
2/5/2020,01R71087713,01 - PLANTA SOYAPANGO              ,AB - RANSA                         ,C-119-460,17
2/5/2020,14R70228683,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
2/5/2020,14R70228706,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
2/5/2020,14R70228750,14 - NIXAPA                        ,94 - C.D. SAN LUIS TALPA           ,C-119-460,59
2/5/2020,94R70055111,94 - C.D. SAN LUIS TALPA           ,14 - NIXAPA                        ,C-119-460,59
2/5/2020,95R70007448,AB - RANSA                         ,14 - NIXAPA                        ,C-119-460,7
3/5/2020,01R71087823,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
3/5/2020,04R70262451,04 - SANTA ANA                     ,14 - NIXAPA                        ,C-119-460,55
3/5/2020,06R70123655,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-460,62
3/5/2020,14R70228660,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-460,61
3/5/2020,14R70228723,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
3/5/2020,14R70228753,14 - NIXAPA                        ,94 - C.D. SAN LUIS TALPA           ,C-119-460,59
3/5/2020,14R70228796,14 - NIXAPA                        ,04 - SANTA ANA                     ,C-119-460,54
4/5/2020,01R71088005,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
4/5/2020,08R70012444,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-460,21
4/5/2020,14R70228762,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-460,20
4/5/2020,14R70228825,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
4/5/2020,94R70055134,94 - C.D. SAN LUIS TALPA           ,14 - NIXAPA                        ,C-119-460,59
5/5/2020,01R71088088,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
5/5/2020,04R70262478,04 - SANTA ANA                     ,14 - NIXAPA                        ,C-119-460,55
5/5/2020,14R70228856,14 - NIXAPA                        ,04 - SANTA ANA                     ,C-119-460,54
5/5/2020,14R70228883,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
5/5/2020,14R70228907,14 - NIXAPA                        ,AB - RANSA                         ,C-119-460,14
6/5/2020,01R71088175,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
6/5/2020,01R71088181,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-460,19
6/5/2020,01R71088231,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-460,19
6/5/2020,14R70228887,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
6/5/2020,14R70228888,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
6/5/2020,14R70228934,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
6/5/2020,14R70229014,14 - NIXAPA                        ,AB - RANSA                         ,C-119-460,14
6/5/2020,95R70007457,AW - WALLMART                      ,14 - NIXAPA                        ,C-119-460,8
6/5/2020,95R70007460,AW - WALLMART                      ,14 - NIXAPA                        ,C-119-460,8
7/5/2020,01R71088293,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
7/5/2020,14R70229018,14 - NIXAPA                        ,TB - TLA,C-119-460,5
7/5/2020,90R70017550,TB - TLA,01 - PLANTA SOYAPANGO              ,C-119-460,20
8/5/2020,01R71088262,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-460,19
8/5/2020,01R71088328,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
8/5/2020,01R71088333,AW - WALLMART                      ,14 - NIXAPA                        ,C-119-460,8
8/5/2020,01R71088349,01 - PLANTA SOYAPANGO              ,11 - CHALATENANGO                  ,C-119-460,52
8/5/2020,14R70228979,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
8/5/2020,14R70229032,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
8/5/2020,14R70229050,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
9/5/2020,06R70123708,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-460,62
9/5/2020,11R70057555,11 - CHALATENANGO                  ,14 - NIXAPA                        ,C-119-460,44
9/5/2020,14R70229021,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-460,61
1/5/2020,14R70228545,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-458,20
2/5/2020,08R70012427,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-458,21
2/5/2020,14R70228780,14 - NIXAPA                        ,92 - OPERADOR LOGISTICO            ,C-119-458,19
2/5/2020,92R70009720,92 - OPERADOR LOGISTICO            ,14 - NIXAPA                        ,C-119-458,10
3/5/2020,05R70242006,05 - SAN MIGUEL                    ,14 - NIXAPA                        ,C-119-458,138
3/5/2020,14R70228674,14 - NIXAPA                        ,05 - SAN MIGUEL                    ,C-119-458,143
3/5/2020,14R70228826,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
4/5/2020,01R71087860,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-458,24
4/5/2020,14R70228819,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
5/5/2020,01R71088010,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-458,24
5/5/2020,01R71088096,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-458,24
5/5/2020,06R70123679,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-458,62
5/5/2020,14R70228799,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-458,61
5/5/2020,14R70228881,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
5/5/2020,14R70228910,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
6/5/2020,01R71088127,01 - PLANTA SOYAPANGO              ,11 - CHALATENANGO                  ,C-119-458,52
6/5/2020,01R71088240,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-458,19
6/5/2020,11R70057542,11 - CHALATENANGO                  ,14 - NIXAPA                        ,C-119-458,44
6/5/2020,14R70228748,14 - NIXAPA                        ,94 - C.D. SAN LUIS TALPA           ,C-119-458,59
6/5/2020,14R70228939,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
6/5/2020,94R70055165,94 - C.D. SAN LUIS TALPA           ,14 - NIXAPA                        ,C-119-458,59
6/5/2020,95R70007463,AW - WALLMART                      ,14 - NIXAPA                        ,C-119-458,8
7/5/2020,01R71088277,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-458,24
7/5/2020,04R70262509,04 - SANTA ANA                     ,14 - NIXAPA                        ,C-119-458,55
7/5/2020,05R70242133,05 - SAN MIGUEL                    ,14 - NIXAPA                        ,C-119-458,138
7/5/2020,14R70228917,14 - NIXAPA                        ,04 - SANTA ANA                     ,C-119-458,54
7/5/2020,14R70228959,14 - NIXAPA                        ,05 - SAN MIGUEL                    ,C-119-458,143
7/5/2020,14R70228972,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
8/5/2020,14R70229038,14 - NIXAPA                        ,TB - TLA,C-119-458,5
8/5/2020,14R70229048,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
8/5/2020,90R70017551,TB - TLA,14 - NIXAPA                        ,C-119-458,9.5
9/5/2020,01R71088224,01 - PLANTA SOYAPANGO              ,31 - DISTR. AGUA Y JUGO            ,C-119-458,4
9/5/2020,01R71088361,01 - PLANTA SOYAPANGO              ,93 - C.DE VENTAS SAN RAFAEL CEDROS ,C-119-458,36
9/5/2020,14R70229025,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
9/5/2020,31R70363930,31 - DISTR. AGUA Y JUGO            ,14 - NIXAPA                        ,C-119-458,20
9/5/2020,93R70068289,93 - C.DE VENTAS SAN RAFAEL CEDROS ,01 - PLANTA SOYAPANGO              ,C-119-458,36
10/5/2020,01R71088392,01 - PLANTA SOYAPANGO              ,11 - CHALATENANGO                  ,C-119-458,52
10/5/2020,01R71088414,01 - PLANTA SOYAPANGO              ,07 - USULUTAN                      ,C-119-458,117
10/5/2020,11R70057558,11 - CHALATENANGO                  ,01 - PLANTA SOYAPANGO              ,C-119-458,52
1/5/2020,01R71087687,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-464,24
1/5/2020,14R70228737,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-464,29
2/5/2020,01R71087707,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-464,24
2/5/2020,01R71087715,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-464,24
2/5/2020,08R70012435,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-464,21
2/5/2020,14R70228644,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-464,20
2/5/2020,14R70228693,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-464,29
2/5/2020,14R70228701,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-464,29
2/5/2020,14R70228714,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-464,29
2/5/2020,14R70228776,14 - NIXAPA                        ,TB - TLA,C-119-464,5
