fecha,remision,origen,destino,placa,kilometros
17/2/2020,01R71080445,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-111,19
17/2/2020,01R71080688,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
17/2/2020,14R70224911,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
17/2/2020,14R70224924,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
17/2/2020,14R70224930,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
17/2/2020,95R70007157,AW - WALLMART                      ,14 - NIXAPA                        ,C-119-111,8
18/2/2020,01R71080762,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
18/2/2020,01R71080796,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
18/2/2020,08R70011920,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-111,21
18/2/2020,14R70224979,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-111,20
18/2/2020,14R70224990,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
18/2/2020,14R70224998,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
19/2/2020,01R71080853,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
19/2/2020,01R71080872,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-111,19
19/2/2020,14R70224994,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
19/2/2020,14R70225074,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
19/2/2020,95R70007169,AW - WALLMART                      ,14 - NIXAPA                        ,C-119-111,8
20/2/2020,01R71080927,01 - PLANTA SOYAPANGO              ,11 - CHALATENANGO                  ,C-119-111,52
20/2/2020,01R71081010,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
20/2/2020,11R70057004,11 - CHALATENANGO                  ,14 - NIXAPA                        ,C-119-111,44
20/2/2020,14R70225090,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
20/2/2020,14R70225116,14 - NIXAPA                        ,94 - C.D. SAN LUIS TALPA           ,C-119-111,59
20/2/2020,14R70225145,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
20/2/2020,94R70054398,94 - C.D. SAN LUIS TALPA           ,14 - NIXAPA                        ,C-119-111,59
21/2/2020,01R71081072,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
21/2/2020,06R70122432,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-111,62
21/2/2020,08R70011947,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-111,21
21/2/2020,14R70225092,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-111,61
21/2/2020,14R70225168,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-111,20
22/2/2020,01R71081169,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
22/2/2020,01R71081188,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
22/2/2020,01R71081218,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
22/2/2020,14R70225095,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
22/2/2020,14R70225144,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
22/2/2020,14R70225186,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
23/2/2020,01R71081277,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
23/2/2020,01R71081298,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
23/2/2020,01R71081325,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
23/2/2020,04R70260846,04 - SANTA ANA                     ,14 - NIXAPA                        ,C-119-111,55
23/2/2020,14R70225015,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
23/2/2020,14R70225152,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
23/2/2020,14R70225217,14 - NIXAPA                        ,04 - SANTA ANA                     ,C-119-111,54
23/2/2020,14R70225219,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
23/2/2020,14R70225249,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
22/2/2020,01R71081190,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
22/2/2020,01R71081230,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
22/2/2020,14R70225156,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
22/2/2020,14R70225254,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
17/2/2020,01R71080690,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-458,24
17/2/2020,14R70224900,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
17/2/2020,14R70224927,14 - NIXAPA                        ,94 - C.D. SAN LUIS TALPA           ,C-119-458,59
17/2/2020,94R70054365,94 - C.D. SAN LUIS TALPA           ,14 - NIXAPA                        ,C-119-458,59
18/2/2020,01R71080758,01 - PLANTA SOYAPANGO              ,93 - C.DE VENTAS SAN RAFAEL CEDROS ,C-119-458,36
18/2/2020,01R71080798,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-458,24
18/2/2020,08R70011921,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-458,21
18/2/2020,14R70224938,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
18/2/2020,14R70224978,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-458,20
18/2/2020,14R70224997,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
18/2/2020,93R70067133,93 - C.DE VENTAS SAN RAFAEL CEDROS ,14 - NIXAPA                        ,C-119-458,57
19/2/2020,01R71080871,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-458,19
19/2/2020,14R70224987,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
19/2/2020,14R70225075,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
19/2/2020,95R70007170,AW - WALLMART                      ,14 - NIXAPA                        ,C-119-458,8
20/2/2020,01R71080877,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-458,24
20/2/2020,01R71080994,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-458,24
20/2/2020,04R70260800,04 - SANTA ANA                     ,14 - NIXAPA                        ,C-119-458,55
20/2/2020,14R70225011,14 - NIXAPA                        ,04 - SANTA ANA                     ,C-119-458,54
20/2/2020,14R70225041,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
21/2/2020,01R71081060,01 - PLANTA SOYAPANGO              ,93 - C.DE VENTAS SAN RAFAEL CEDROS ,C-119-458,36
21/2/2020,06R70122433,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-458,62
21/2/2020,14R70225035,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
21/2/2020,14R70225154,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
21/2/2020,14R70225172,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-458,61
