fecha,remision,origen,destino,placa,kilometros
26/10/2020,01R71102425,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-111,19
26/10/2020,01R71102613,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
26/10/2020,14R70237198,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
26/10/2020,14R70237215,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
26/10/2020,95R70008037,AW - WALLMART                      ,14 - NIXAPA                        ,C-119-111,8
27/10/2020,01R71102660,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
27/10/2020,01R71102683,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
27/10/2020,06R70126204,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-111,62
27/10/2020,14R70237252,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
27/10/2020,14R70237268,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
27/10/2020,14R70237271,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-111,61
27/10/2020,14R70237306,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
28/10/2020,01R71102749,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
28/10/2020,01R71102765,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
28/10/2020,04R70266282,04 - SANTA ANA                     ,14 - NIXAPA                        ,C-119-111,55
28/10/2020,14R70237323,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
28/10/2020,14R70237340,14 - NIXAPA                        ,AW - WALLMART                      ,C-119-111,12
28/10/2020,14R70237344,14 - NIXAPA                        ,92 - OPERADOR LOGISTICO            ,C-119-111,19
28/10/2020,90R70018049,AW - WALLMART                      ,14 - NIXAPA                        ,C-119-111,8
28/10/2020,92R70010591,92 - OPERADOR LOGISTICO            ,04 - SANTA ANA                     ,C-119-111,61
29/10/2020,01R71102832,01 - PLANTA SOYAPANGO              ,93 - C.DE VENTAS SAN RAFAEL CEDROS ,C-119-111,36
29/10/2020,01R71102854,01 - PLANTA SOYAPANGO              ,AB - RANSA                         ,C-119-111,17
29/10/2020,01R71102870,AB - RANSA                         ,14 - NIXAPA                        ,C-119-111,7
29/10/2020,01R71102907,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
29/10/2020,14R70237359,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
29/10/2020,14R70237365,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
29/10/2020,14R70237371,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
29/10/2020,14R70237378,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
29/10/2020,93R70070631,93 - C.DE VENTAS SAN RAFAEL CEDROS ,14 - NIXAPA                        ,C-119-111,57
30/10/2020,01R71102988,01 - PLANTA SOYAPANGO              ,11 - CHALATENANGO                  ,C-119-111,52
31/10/2020,06R70126262,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-111,62
31/10/2020,11R70058701,11 - CHALATENANGO                  ,14 - NIXAPA                        ,C-119-111,44
31/10/2020,14R70237413,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-111,61
26/10/2020,01R71102428,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-460,19
26/10/2020,14R70237206,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
26/10/2020,95R70008036,AW - WALLMART                      ,14 - NIXAPA                        ,C-119-460,8
27/10/2020,01R71102575,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-460,19
27/10/2020,01R71102687,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
27/10/2020,14R70237237,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
27/10/2020,14R70237259,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
27/10/2020,14R70237330,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
27/10/2020,95R70008041,AW - WALLMART                      ,14 - NIXAPA                        ,C-119-460,8
28/10/2020,01R71102665,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-460,19
28/10/2020,01R71102750,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
28/10/2020,08R70013546,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-460,21
28/10/2020,14R70237234,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-460,20
28/10/2020,14R70237321,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
28/10/2020,14R70237382,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
28/10/2020,95R70008044,AW - WALLMART                      ,14 - NIXAPA                        ,C-119-460,8
29/10/2020,01R71102841,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
29/10/2020,01R71102855,01 - PLANTA SOYAPANGO              ,93 - C.DE VENTAS SAN RAFAEL CEDROS ,C-119-460,36
29/10/2020,04R70266312,04 - SANTA ANA                     ,14 - NIXAPA                        ,C-119-460,55
29/10/2020,14R70237312,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
29/10/2020,14R70237403,14 - NIXAPA                        ,92 - OPERADOR LOGISTICO            ,C-119-460,19
29/10/2020,92R70010600,92 - OPERADOR LOGISTICO            ,04 - SANTA ANA                     ,C-119-460,61
29/10/2020,93R70070637,93 - C.DE VENTAS SAN RAFAEL CEDROS ,14 - NIXAPA                        ,C-119-460,57
30/10/2020,14R70237442,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
31/10/2020,01R71103019,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
31/10/2020,14R70237354,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-460,61
31/10/2020,14R70237481,14 - NIXAPA                        ,93 - C.DE VENTAS SAN RAFAEL CEDROS ,C-119-460,62
31/10/2020,93R70070655,93 - C.DE VENTAS SAN RAFAEL CEDROS ,14 - NIXAPA                        ,C-119-460,57
26/10/2020,04R70266209,04 - SANTA ANA                     ,14 - NIXAPA                        ,C-119-458,55
26/10/2020,06R70126196,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-458,62
26/10/2020,14R70237187,14 - NIXAPA                        ,04 - SANTA ANA                     ,C-119-458,54
26/10/2020,14R70237192,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-458,61
27/10/2020,01R71102729,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-458,24
27/10/2020,08R70013530,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-458,21
27/10/2020,14R70237240,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-458,20
27/10/2020,14R70237288,14 - NIXAPA                        ,92 - OPERADOR LOGISTICO            ,C-119-458,19
27/10/2020,92R70010580,92 - OPERADOR LOGISTICO            ,01 - PLANTA SOYAPANGO              ,C-119-458,18
28/10/2020,01R71102758,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-458,24
28/10/2020,06R70126217,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-458,62
28/10/2020,14R70237304,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-458,61
28/10/2020,14R70237329,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
29/10/2020,14R70237388,14 - NIXAPA                        ,92 - OPERADOR LOGISTICO            ,C-119-458,19
29/10/2020,14R70237394,14 - NIXAPA                        ,AB - RANSA                         ,C-119-458,14
29/10/2020,92R70010595,92 - OPERADOR LOGISTICO            ,94 - C.D. SAN LUIS TALPA           ,C-119-458,51
29/10/2020,94R70056732,94 - C.D. SAN LUIS TALPA           ,14 - NIXAPA                        ,C-119-458,59
30/10/2020,04R70266335,04 - SANTA ANA                     ,14 - NIXAPA                        ,C-119-458,55
30/10/2020,08R70013558,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-458,21
30/10/2020,14R70237429,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-458,20
30/10/2020,14R70237438,14 - NIXAPA                        ,04 - SANTA ANA                     ,C-119-458,54
30/10/2020,14R70237444,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
31/10/2020,01R71102954,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-458,19
31/10/2020,01R71103017,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-458,24
31/10/2020,14R70237422,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
31/10/2020,14R70237557,14 - NIXAPA                        ,AB - RANSA                         ,C-119-458,14
31/10/2020,95R70008049,AW - WALLMART                      ,14 - NIXAPA                        ,C-119-458,8
26/10/2020,01R71102427,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-464,19
26/10/2020,14R70237219,14 - NIXAPA                        ,TA - Taller Arianita,C-119-464,8
26/10/2020,14R70237241,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-464,29
26/10/2020,95R70008035,AW - WALLMART                      ,14 - NIXAPA                        ,C-119-464,8
27/10/2020,01R71102637,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-464,24
27/10/2020,01R71102666,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-464,24
27/10/2020,08R70013534,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-464,21
27/10/2020,14R70237239,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-464,20
27/10/2020,14R70237254,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-464,29
27/10/2020,14R70237281,14 - NIXAPA                        ,AB - RANSA                         ,C-119-464,14
27/10/2020,90R70018042,AB - RANSA                         ,14 - NIXAPA                        ,C-119-464,7
27/10/2020,91R70003429,TA - Taller Arianita,14 - NIXAPA                        ,C-119-464,15
28/10/2020,01R71102762,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-464,24
28/10/2020,14R70237264,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-464,29
28/10/2020,14R70237316,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-464,29
28/10/2020,14R70237328,14 - NIXAPA                        ,94 - C.D. SAN LUIS TALPA           ,C-119-464,59
28/10/2020,14R70237384,14 - NIXAPA                        ,92 - OPERADOR LOGISTICO            ,C-119-464,19
28/10/2020,92R70010592,92 - OPERADOR LOGISTICO            ,14 - NIXAPA                        ,C-119-464,10
