fecha,remision,origen,destino,placa,kilometros
23/3/2020,01R71084141,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
23/3/2020,08R70012160,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-111,21
23/3/2020,14R70226757,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
23/3/2020,14R70226768,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-111,20
24/3/2020,01R71084196,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
24/3/2020,01R71084220,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
24/3/2020,14R70226815,14 - NIXAPA                        ,93 - C.DE VENTAS SAN RAFAEL CEDROS ,C-119-111,57
24/3/2020,14R70226820,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
24/3/2020,14R70226823,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
24/3/2020,93R70067713,93 - C.DE VENTAS SAN RAFAEL CEDROS ,14 - NIXAPA                        ,C-119-111,57
25/3/2020,01R71084281,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
25/3/2020,14R70226850,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
26/3/2020,01R71084401,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
26/3/2020,04R70261667,04 - SANTA ANA                     ,14 - NIXAPA                        ,C-119-111,55
26/3/2020,14R70226898,14 - NIXAPA                        ,04 - SANTA ANA                     ,C-119-111,54
26/3/2020,14R70226922,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
27/3/2020,01R71084469,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
27/3/2020,14R70226958,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
27/3/2020,14R70227007,14 - NIXAPA                        ,TB - TLA,C-119-111,5
28/3/2020,01R71084575,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
28/3/2020,01R71084587,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
28/3/2020,14R70227024,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
28/3/2020,14R70227034,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
30/3/2020,01R71084673,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-111,19
30/3/2020,01R71084713,01 - PLANTA SOYAPANGO              ,11 - CHALATENANGO                  ,C-119-111,52
30/3/2020,14R70227051,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
30/3/2020,14R70227085,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
30/3/2020,95R70007331,AW - WALLMART                      ,14 - NIXAPA                        ,C-119-111,8
31/3/2020,06R70123103,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-111,62
31/3/2020,11R70057286,11 - CHALATENANGO                  ,14 - NIXAPA                        ,C-119-111,44
31/3/2020,14R70227075,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-111,61
31/3/2020,14R70227141,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
23/3/2020,01R71084116,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
23/3/2020,01R71084143,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
23/3/2020,14R70226753,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
23/3/2020,14R70226755,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
23/3/2020,14R70226771,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
24/3/2020,01R71084186,01 - PLANTA SOYAPANGO              ,93 - C.DE VENTAS SAN RAFAEL CEDROS ,C-119-460,36
24/3/2020,01R71084214,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
24/3/2020,14R70226812,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
24/3/2020,14R70226841,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
24/3/2020,93R70067708,93 - C.DE VENTAS SAN RAFAEL CEDROS ,14 - NIXAPA                        ,C-119-460,57
25/3/2020,01R71084265,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
25/3/2020,01R71084318,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
25/3/2020,14R70226830,14 - NIXAPA                        ,94 - C.D. SAN LUIS TALPA           ,C-119-460,59
25/3/2020,17R70123834,17 - EXPORTACIONES CERVEZA         ,01 - PLANTA SOYAPANGO              ,C-119-460,4
25/3/2020,94R70054782,94 - C.D. SAN LUIS TALPA           ,17 - EXPORTACIONES CERVEZA         ,C-119-460,37
26/3/2020,01R71084388,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
26/3/2020,14R70226925,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
26/3/2020,14R70226943,14 - NIXAPA                        ,94 - C.D. SAN LUIS TALPA           ,C-119-460,59
26/3/2020,94R70054791,94 - C.D. SAN LUIS TALPA           ,14 - NIXAPA                        ,C-119-460,59
27/3/2020,01R71084466,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
27/3/2020,01R71084485,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
27/3/2020,01R71084502,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
27/3/2020,14R70226963,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
