fecha,remision,origen,destino,placa,kilometros
2/9/2020,01R71097521,01 - PLANTA SOYAPANGO              ,31 - DISTR. AGUA Y JUGO            ,C-119-111,4
2/9/2020,08R70013136,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-111,21
2/9/2020,14R70234468,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
2/9/2020,14R70234469,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-111,20
2/9/2020,31R70370807,31 - DISTR. AGUA Y JUGO            ,14 - NIXAPA                        ,C-119-111,20
3/9/2020,01R71097663,01 - PLANTA SOYAPANGO              ,93 - C.DE VENTAS SAN RAFAEL CEDROS ,C-119-111,36
3/9/2020,04R70264921,04 - SANTA ANA                     ,14 - NIXAPA                        ,C-119-111,55
3/9/2020,14R70234528,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
3/9/2020,14R70234553,14 - NIXAPA                        ,94 - C.D. SAN LUIS TALPA           ,C-119-111,59
3/9/2020,14R70234568,14 - NIXAPA                        ,92 - OPERADOR LOGISTICO            ,C-119-111,19
3/9/2020,92R70010235,92 - OPERADOR LOGISTICO            ,04 - SANTA ANA                     ,C-119-111,61
3/9/2020,93R70069785,93 - C.DE VENTAS SAN RAFAEL CEDROS ,14 - NIXAPA                        ,C-119-111,57
3/9/2020,94R70056164,94 - C.D. SAN LUIS TALPA           ,14 - NIXAPA                        ,C-119-111,59
4/9/2020,01R71097603,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-111,19
4/9/2020,01R71097827,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
4/9/2020,14R70234549,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
4/9/2020,14R70234550,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
4/9/2020,14R70234593,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
4/9/2020,95R70007823,AW - WALLMART                      ,14 - NIXAPA                        ,C-119-111,8
5/9/2020,01R71097934,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
5/9/2020,01R71097966,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
5/9/2020,14R70234664,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
5/9/2020,14R70234665,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
5/9/2020,14R70234670,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
6/9/2020,01R71098007,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
1/9/2020,01R71097442,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
1/9/2020,08R70013120,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-460,21
1/9/2020,14R70234311,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-460,20
1/9/2020,14R70234453,14 - NIXAPA                        ,TB - TLA,C-119-460,5
1/9/2020,14R70234487,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
1/9/2020,90R70017853,TB - TLA,14 - NIXAPA                        ,C-119-460,9.5
1/9/2020,91R70003341,TA - Taller Arianita,14 - NIXAPA                        ,C-119-460,19.5
2/9/2020,01R71097570,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
4/9/2020,01R71097605,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-460,19
4/9/2020,14R70234596,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
4/9/2020,14R70234609,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
4/9/2020,95R70007821,AW - WALLMART                      ,14 - NIXAPA                        ,C-119-460,8
5/9/2020,01R71097829,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-460,19
5/9/2020,01R71097908,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
5/9/2020,01R71097967,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
5/9/2020,14R70234546,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
5/9/2020,14R70234645,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
5/9/2020,95R70007828,AW - WALLMART                      ,14 - NIXAPA                        ,C-119-460,8
6/9/2020,14R70234520,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-460,20
1/9/2020,01R71097471,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-458,24
1/9/2020,01R71097547,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-458,24
1/9/2020,14R70234364,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
1/9/2020,14R70234422,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
1/9/2020,14R70234428,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
1/9/2020,14R70234443,14 - NIXAPA                        ,AB - RANSA                         ,C-119-458,14
2/9/2020,01R71097577,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-458,24
2/9/2020,01R71097618,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-458,24
2/9/2020,14R70234496,14 - NIXAPA                        ,TB - TLA,C-119-458,5
