fecha,remision,origen,desitno,placa,kilometros
16/10/2020,01R71101646,01 - PLANTA SOYAPANGO              ,31 - DISTR. AGUA Y JUGO            ,C-119-460,4
16/10/2020,14R70236659,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
16/10/2020,14R70236699,14 - NIXAPA                        ,94 - C.D. SAN LUIS TALPA           ,C-119-460,59
16/10/2020,31R70374489,31 - DISTR. AGUA Y JUGO            ,14 - NIXAPA                        ,C-119-460,20
16/10/2020,94R70056620,94 - C.D. SAN LUIS TALPA           ,14 - NIXAPA                        ,C-119-460,59
17/10/2020,01R71101801,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
17/10/2020,01R71101817,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
17/10/2020,01R71101852,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
17/10/2020,14R70236717,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
17/10/2020,14R70236755,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
17/10/2020,14R70236763,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
18/10/2020,01R71101883,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
18/10/2020,14R70236701,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
18/10/2020,14R70236761,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
15/10/2020,01R71101582,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-458,24
15/10/2020,14R70236596,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
15/10/2020,14R70236638,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-458,61
15/10/2020,14R70236648,14 - NIXAPA                        ,94 - C.D. SAN LUIS TALPA           ,C-119-458,59
15/10/2020,94R70056611,94 - C.D. SAN LUIS TALPA           ,14 - NIXAPA                        ,C-119-458,59
16/10/2020,01R71101596,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-458,19
16/10/2020,06R70126035,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-458,62
16/10/2020,14R70236652,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
16/10/2020,95R70008000,AW - WALLMART                      ,14 - NIXAPA                        ,C-119-458,8
17/10/2020,01R71101698,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-458,19
17/10/2020,01R71101851,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-458,24
17/10/2020,14R70236758,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
17/10/2020,14R70236780,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
17/10/2020,95R70008008,AW - WALLMART                      ,14 - NIXAPA                        ,C-119-458,8
18/10/2020,01R71101881,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-458,24
18/10/2020,14R70236719,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
18/10/2020,14R70236748,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
12/10/2020,01R71101167,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-464,19
12/10/2020,01R71101355,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-464,24
12/10/2020,14R70236483,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-464,29
12/10/2020,14R70236503,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-464,29
12/10/2020,95R70007984,AW - WALLMART                      ,14 - NIXAPA                        ,C-119-464,8
13/10/2020,01R71101367,01 - PLANTA SOYAPANGO              ,93 - C.DE VENTAS SAN RAFAEL CEDROS ,C-119-464,36
13/10/2020,01R71101400,01 - PLANTA SOYAPANGO              ,AB - RANSA                         ,C-119-464,17
13/10/2020,14R70236482,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-464,29
13/10/2020,14R70236561,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-464,29
13/10/2020,14R70236607,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-464,29
13/10/2020,93R70070387,93 - C.DE VENTAS SAN RAFAEL CEDROS ,14 - NIXAPA                        ,C-119-464,57
13/10/2020,95R70007990,AB - RANSA                         ,14 - NIXAPA                        ,C-119-464,7
14/10/2020,01R71101395,01 - PLANTA SOYAPANGO              ,31 - DISTR. AGUA Y JUGO            ,C-119-464,4
14/10/2020,01R71101538,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-464,24
14/10/2020,14R70236532,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-464,29
14/10/2020,14R70236541,14 - NIXAPA                        ,94 - C.D. SAN LUIS TALPA           ,C-119-464,59
14/10/2020,14R70236599,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-464,29
14/10/2020,31R70374289,31 - DISTR. AGUA Y JUGO            ,14 - NIXAPA                        ,C-119-464,20
14/10/2020,94R70056594,94 - C.D. SAN LUIS TALPA           ,14 - NIXAPA                        ,C-119-464,59
15/10/2020,01R71101568,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-464,24
15/10/2020,01R71101583,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-464,24
15/10/2020,14R70236582,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-464,61
15/10/2020,14R70236669,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-464,29
15/10/2020,14R70236680,14 - NIXAPA                        ,AB - RANSA                         ,C-119-464,14
15/10/2020,90R70018004,AB - RANSA                         ,14 - NIXAPA                        ,C-119-464,7
16/10/2020,01R71101682,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-464,24
16/10/2020,06R70126033,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-464,62
16/10/2020,14R70236600,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-464,29
17/10/2020,01R71101786,01 - PLANTA SOYAPANGO              ,AB - RANSA                         ,C-119-464,17
17/10/2020,06R70126050,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-464,62
17/10/2020,14R70236710,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-464,29
17/10/2020,14R70236741,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-464,61
17/10/2020,14R70236794,14 - NIXAPA                        ,92 - OPERADOR LOGISTICO            ,C-119-464,19
17/10/2020,92R70010521,92 - OPERADOR LOGISTICO            ,01 - PLANTA SOYAPANGO              ,C-119-464,18
17/10/2020,95R70008009,AB - RANSA                         ,14 - NIXAPA                        ,C-119-464,7
18/10/2020,01R71101870,01 - PLANTA SOYAPANGO              ,93 - C.DE VENTAS SAN RAFAEL CEDROS ,C-119-464,36
12/10/2020,01R71101289,01 - PLANTA SOYAPANGO              ,94 - C.D. SAN LUIS TALPA           ,C-119-468,41
12/10/2020,14R70236470,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-468,29
12/10/2020,94R70056572,94 - C.D. SAN LUIS TALPA           ,14 - NIXAPA                        ,C-119-468,59
13/10/2020,01R71101389,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-468,24
13/10/2020,01R71101409,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-468,24
13/10/2020,01R71101446,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-468,24
13/10/2020,14R70236476,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-468,29
13/10/2020,14R70236543,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-468,29
13/10/2020,14R70236554,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-468,29
13/10/2020,14R70236612,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-468,29
14/10/2020,01R71101484,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-468,24
14/10/2020,08R70013446,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-468,21
14/10/2020,14R70236528,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-468,20
14/10/2020,14R70236540,14 - NIXAPA                        ,94 - C.D. SAN LUIS TALPA           ,C-119-468,59
14/10/2020,94R70056589,94 - C.D. SAN LUIS TALPA           ,14 - NIXAPA                        ,C-119-468,59
15/10/2020,01R71101555,01 - PLANTA SOYAPANGO              ,93 - C.DE VENTAS SAN RAFAEL CEDROS ,C-119-468,36
15/10/2020,01R71101600,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-468,24
15/10/2020,01R71101638,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-468,24
15/10/2020,14R70236606,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-468,29
15/10/2020,14R70236657,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-468,29
15/10/2020,14R70236661,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-468,29
15/10/2020,93R70070413,93 - C.DE VENTAS SAN RAFAEL CEDROS ,14 - NIXAPA                        ,C-119-468,57
16/10/2020,01R71101680,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-468,24
16/10/2020,14R70236663,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-468,29
16/10/2020,14R70236698,14 - NIXAPA                        ,93 - C.DE VENTAS SAN RAFAEL CEDROS ,C-119-468,62
16/10/2020,93R70070434,93 - C.DE VENTAS SAN RAFAEL CEDROS ,14 - NIXAPA                        ,C-119-468,57
17/10/2020,01R71101821,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-468,24
17/10/2020,14R70236751,14 - NIXAPA                        ,94 - C.D. SAN LUIS TALPA           ,C-119-468,59
17/10/2020,14R70236765,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-468,29
17/10/2020,14R70236799,14 - NIXAPA                        ,TB - TLA,C-119-468,5
17/10/2020,90R70018016,TB - TLA,01 - PLANTA SOYAPANGO              ,C-119-468,20
17/10/2020,94R70056626,94 - C.D. SAN LUIS TALPA           ,14 - NIXAPA                        ,C-119-468,59
18/10/2020,01R71101875,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-468,24
12/10/2020,14R70236484,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-471,29
12/10/2020,14R70236493,14 - NIXAPA                        ,94 - C.D. SAN LUIS TALPA           ,C-119-471,59
12/10/2020,14R70236519,14 - NIXAPA                        ,TB - TLA,C-119-471,5
12/10/2020,94R70056571,94 - C.D. SAN LUIS TALPA           ,14 - NIXAPA                        ,C-119-471,59
13/10/2020,01R71101368,01 - PLANTA SOYAPANGO              ,93 - C.DE VENTAS SAN RAFAEL CEDROS ,C-119-471,36
13/10/2020,01R71101408,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-471,24
13/10/2020,14R70236472,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-471,29
