fecha,remision,origen,destino,placa,kilometros
1/2/2020,01R71079049,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
1/2/2020,14R70224053,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
3/2/2020,01R71079312,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
4/2/2020,04R70260376,04 - SANTA ANA                     ,14 - NIXAPA                        ,C-119-111,55
4/2/2020,14R70224202,14 - NIXAPA                        ,93 - C.DE VENTAS SAN RAFAEL CEDROS ,C-119-111,57
4/2/2020,14R70224249,14 - NIXAPA                        ,94 - C.D. SAN LUIS TALPA           ,C-119-111,59
4/2/2020,14R70224250,14 - NIXAPA                        ,04 - SANTA ANA                     ,C-119-111,54
4/2/2020,93R70066902,93 - C.DE VENTAS SAN RAFAEL CEDROS ,14 - NIXAPA                        ,C-119-111,57
4/2/2020,94R70054223,94 - C.D. SAN LUIS TALPA           ,14 - NIXAPA                        ,C-119-111,59
5/2/2020,01R71079371,01 - PLANTA SOYAPANGO              ,31 - DISTR. AGUA Y JUGO            ,C-119-111,4
5/2/2020,01R71079522,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
5/2/2020,14R70224207,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
5/2/2020,14R70224348,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
5/2/2020,31R70356189,31 - DISTR. AGUA Y JUGO            ,14 - NIXAPA                        ,C-119-111,20
6/2/2020,01R71079477,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-111,19
6/2/2020,06R70122180,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-111,62
6/2/2020,14R70224334,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-111,61
6/2/2020,14R70224337,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
6/2/2020,14R70224411,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-111,61
6/2/2020,95R70007092,AW - WALLMART                      ,14 - NIXAPA                        ,C-119-111,8
7/2/2020,06R70122189,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-111,62
7/2/2020,08R70011842,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-111,21
7/2/2020,14R70224351,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-111,20
7/2/2020,14R70224382,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
7/2/2020,14R70224462,14 - NIXAPA                        ,94 - C.D. SAN LUIS TALPA           ,C-119-111,59
7/2/2020,94R70054265,94 - C.D. SAN LUIS TALPA           ,14 - NIXAPA                        ,C-119-111,59
8/2/2020,01R71079836,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
8/2/2020,01R71079857,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-111,19
8/2/2020,01R71079916,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
8/2/2020,14R70224395,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
8/2/2020,14R70224396,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
8/2/2020,14R70224487,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-111,61
8/2/2020,95R70007105,AW - WALLMART                      ,14 - NIXAPA                        ,C-119-111,8
9/2/2020,01R71079982,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
9/2/2020,01R71080015,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
9/2/2020,06R70122248,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-111,62
9/2/2020,14R70224506,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
9/2/2020,14R70224521,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
1/2/2020,01R71078974,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-460,19
1/2/2020,01R71079144,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
1/2/2020,14R70224060,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
1/2/2020,14R70224174,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
1/2/2020,95R70007053,AW - WALLMART                      ,14 - NIXAPA                        ,C-119-460,8
2/2/2020,01R71079185,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
2/2/2020,01R71079198,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
2/2/2020,01R71079210,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
2/2/2020,14R70224114,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-460,61
2/2/2020,14R70224147,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
2/2/2020,14R70224156,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
2/2/2020,14R70224170,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
3/2/2020,06R70122118,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-460,62
3/2/2020,14R70224211,14 - NIXAPA                        ,94 - C.D. SAN LUIS TALPA           ,C-119-460,59
3/2/2020,94R70054204,94 - C.D. SAN LUIS TALPA           ,14 - NIXAPA                        ,C-119-460,59
4/2/2020,01R71079269,01 - PLANTA SOYAPANGO              ,31 - DISTR. AGUA Y JUGO            ,C-119-460,4
4/2/2020,08R70011824,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-460,21
4/2/2020,14R70224223,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
4/2/2020,14R70224282,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-460,20
4/2/2020,31R70356074,31 - DISTR. AGUA Y JUGO            ,14 - NIXAPA                        ,C-119-460,20
5/2/2020,01R71079453,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
5/2/2020,06R70122169,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-460,62
5/2/2020,08R70011829,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-460,21
5/2/2020,14R70224196,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-460,61
5/2/2020,14R70224220,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
5/2/2020,14R70224345,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
5/2/2020,14R70224356,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-460,20
5/2/2020,14R70224358,14 - NIXAPA                        ,94 - C.D. SAN LUIS TALPA           ,C-119-460,59
5/2/2020,94R70054236,94 - C.D. SAN LUIS TALPA           ,92 - OPERADOR LOGISTICO            ,C-119-460,51
6/2/2020,01R71079531,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
6/2/2020,01R71079706,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
6/2/2020,14R70224381,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
7/2/2020,01R71079741,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
7/2/2020,01R71079791,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
7/2/2020,06R70122197,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-460,62
7/2/2020,14R70224333,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
7/2/2020,14R70224387,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-460,61
7/2/2020,14R70224388,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
7/2/2020,14R70224449,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
8/2/2020,01R71079852,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
8/2/2020,01R71079879,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
8/2/2020,14R70224454,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
8/2/2020,14R70224482,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-460,61
9/2/2020,06R70122247,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-460,62
1/2/2020,01R71079036,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-458,24
1/2/2020,14R70224073,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
1/2/2020,14R70224135,14 - NIXAPA                        ,94 - C.D. SAN LUIS TALPA           ,C-119-458,59
1/2/2020,14R70224150,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
1/2/2020,94R70054164,94 - C.D. SAN LUIS TALPA           ,14 - NIXAPA                        ,C-119-458,59
2/2/2020,01R71079151,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-458,24
2/2/2020,01R71079184,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-458,24
2/2/2020,01R71079195,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-458,24
2/2/2020,01R71079207,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-458,24
2/2/2020,01R71079216,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-458,24
2/2/2020,14R70224102,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-458,61
2/2/2020,14R70224129,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
2/2/2020,14R70224131,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
2/2/2020,14R70224164,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
2/2/2020,14R70224165,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
