fecha,remision,origen,destino,placa,kilometros
16/6/2020,14R70229981,14 - NIXAPA                        ,TA - Taller Arianita,C-119-111,15
16/6/2020,14R70230012,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
17/6/2020,01R71090679,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
17/6/2020,04R70263069,04 - SANTA ANA                     ,14 - NIXAPA                        ,C-119-111,87
17/6/2020,06R70124039,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-111,80
17/6/2020,14R70229991,14 - NIXAPA                        ,04 - SANTA ANA                     ,C-119-111,86
17/6/2020,14R70230008,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
17/6/2020,14R70230037,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-111,79
18/6/2020,01R71090790,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
18/6/2020,01R71090832,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
18/6/2020,04R70263081,04 - SANTA ANA                     ,14 - NIXAPA                        ,C-119-111,87
18/6/2020,14R70229988,14 - NIXAPA                        ,04 - SANTA ANA                     ,C-119-111,86
18/6/2020,14R70230001,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
18/6/2020,14R70230054,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
19/6/2020,01R71090714,01 - PLANTA SOYAPANGO              ,31 - DISTR. AGUA Y JUGO            ,C-119-111,4
19/6/2020,01R71090872,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
19/6/2020,01R71090961,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
19/6/2020,14R70230077,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
19/6/2020,14R70230152,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
19/6/2020,14R70230185,14 - NIXAPA                        ,94 - C.D. SAN LUIS TALPA           ,C-119-111,59
19/6/2020,31R70365819,31 - DISTR. AGUA Y JUGO            ,14 - NIXAPA                        ,C-119-111,20
19/6/2020,94R70055419,94 - C.D. SAN LUIS TALPA           ,14 - NIXAPA                        ,C-119-111,59
20/6/2020,01R71090985,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
20/6/2020,01R71090998,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
20/6/2020,06R70124076,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-111,80
20/6/2020,14R70230057,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
20/6/2020,14R70230155,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
20/6/2020,14R70230194,14 - NIXAPA                        ,31 - DISTR. AGUA Y JUGO            ,C-119-111,25
20/6/2020,14R70230267,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-111,79
20/6/2020,31R70365923,31 - DISTR. AGUA Y JUGO            ,14 - NIXAPA                        ,C-119-111,20
21/6/2020,01R71091068,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
21/6/2020,08R70012611,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-111,38
21/6/2020,14R70230071,14 - NIXAPA                        ,93 - C.DE VENTAS SAN RAFAEL CEDROS ,C-119-111,57
21/6/2020,14R70230230,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
