fecha,remision,origen,destino,placa,kilometros
7/9/2020,01R71098019,01 - PLANTA SOYAPANGO              ,94 - C.D. SAN LUIS TALPA           ,C-119-111,41
7/9/2020,14R70234697,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
7/9/2020,14R70234720,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
7/9/2020,94R70056217,94 - C.D. SAN LUIS TALPA           ,14 - NIXAPA                        ,C-119-111,59
8/9/2020,01R71098082,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
8/9/2020,01R71098159,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
8/9/2020,14R70234759,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
8/9/2020,14R70234778,14 - NIXAPA                        ,TA - Taller Arianita,C-119-111,15
8/9/2020,14R70234782,14 - NIXAPA                        ,TB - TLA,C-119-111,5
8/9/2020,90R70017874,TB - TLA,14 - NIXAPA                        ,C-119-111,9.5
8/9/2020,91R70003346,TA - Taller Arianita,14 - NIXAPA                        ,C-119-111,19.5
9/9/2020,01R71098157,01 - PLANTA SOYAPANGO              ,31 - DISTR. AGUA Y JUGO            ,C-119-111,4
9/9/2020,14R70234745,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
9/9/2020,14R70234826,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
9/9/2020,14R70234836,14 - NIXAPA                        ,94 - C.D. SAN LUIS TALPA           ,C-119-111,59
9/9/2020,31R70371346,31 - DISTR. AGUA Y JUGO            ,14 - NIXAPA                        ,C-119-111,20
9/9/2020,94R70056227,94 - C.D. SAN LUIS TALPA           ,14 - NIXAPA                        ,C-119-111,59
10/9/2020,01R71098321,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
10/9/2020,08R70013189,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-111,21
10/9/2020,14R70234823,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
10/9/2020,14R70234870,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-111,20
10/9/2020,14R70234892,14 - NIXAPA                        ,94 - C.D. SAN LUIS TALPA           ,C-119-111,59
10/9/2020,94R70056244,94 - C.D. SAN LUIS TALPA           ,14 - NIXAPA                        ,C-119-111,59
11/9/2020,01R71098416,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
11/9/2020,01R71098456,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
11/9/2020,06R70125446,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-111,62
11/9/2020,14R70234862,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-111,61
11/9/2020,14R70234923,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
11/9/2020,14R70234989,14 - NIXAPA                        ,92 - OPERADOR LOGISTICO            ,C-119-111,19
11/9/2020,92R70010261,92 - OPERADOR LOGISTICO            ,01 - PLANTA SOYAPANGO              ,C-119-111,18
12/9/2020,01R71098512,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
12/9/2020,01R71098560,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
12/9/2020,04R70265157,04 - SANTA ANA                     ,14 - NIXAPA                        ,C-119-111,55
12/9/2020,14R70234905,14 - NIXAPA                        ,04 - SANTA ANA                     ,C-119-111,54
12/9/2020,14R70234974,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
12/9/2020,14R70235027,14 - NIXAPA                        ,AW - WALLMART                      ,C-119-111,12
12/9/2020,90R70017890,AW - WALLMART                      ,14 - NIXAPA                        ,C-119-111,8
13/9/2020,01R71098621,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
13/9/2020,01R71098630,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
13/9/2020,14R70234925,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
