fecha,remision,origen,destino,placa,kilometros
10/8/2020,01R71095508,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-111,19
10/8/2020,01R71095621,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
10/8/2020,14R70233423,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
10/8/2020,14R70233425,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
10/8/2020,14R70233466,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
10/8/2020,95R70007724,AW - WALLMART                      ,14 - NIXAPA                        ,C-119-111,8
11/8/2020,01R71095681,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
11/8/2020,01R71095720,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
11/8/2020,08R70012981,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-111,21
11/8/2020,14R70233456,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-111,20
11/8/2020,14R70233516,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
12/8/2020,01R71095792,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
12/8/2020,01R71095844,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
12/8/2020,01R71095894,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
12/8/2020,14R70233535,14 - NIXAPA                        ,TB - TLA,C-119-111,5
12/8/2020,14R70233562,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
12/8/2020,24R70011766,TB - TLA,01 - PLANTA SOYAPANGO              ,C-119-111,20
12/8/2020,90R70017786,TB - TLA,01 - PLANTA SOYAPANGO              ,C-119-111,20
13/8/2020,01R71095806,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-111,19
