fecha,remision,origen,destino,placa,kilometros
20/4/2020,01R71086606,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
20/4/2020,04R70262112,04 - SANTA ANA                     ,14 - NIXAPA                        ,C-119-111,55
20/4/2020,14R70228031,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
20/4/2020,91R70003061,TA - Taller Arianita,14 - NIXAPA                        ,C-119-111,19.5
20/4/2020,91R70003065,TA - Taller Arianita,14 - NIXAPA                        ,C-119-111,19.5
20/4/2020,91R70003073,TA - Taller Arianita,14 - NIXAPA                        ,C-119-111,19.5
21/4/2020,01R71086600,01 - PLANTA SOYAPANGO              ,31 - DISTR. AGUA Y JUGO            ,C-119-111,4
21/4/2020,14R70228124,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
21/4/2020,14R70228138,14 - NIXAPA                        ,AB - RANSA                         ,C-119-111,14
21/4/2020,14R70228175,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
21/4/2020,31R70362945,31 - DISTR. AGUA Y JUGO            ,14 - NIXAPA                        ,C-119-111,20
21/4/2020,90R70017532,AB - RANSA                         ,14 - NIXAPA                        ,C-119-111,7
22/4/2020,01R71086754,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
22/4/2020,01R71086792,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
22/4/2020,01R71086831,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
22/4/2020,08R70012359,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-111,21
22/4/2020,14R70228115,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-111,20
22/4/2020,14R70228198,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
22/4/2020,14R70228223,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
23/4/2020,01R71086858,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
23/4/2020,06R70123436,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-111,62
23/4/2020,14R70228234,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
23/4/2020,14R70228253,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-111,61
23/4/2020,14R70228259,14 - NIXAPA                        ,94 - C.D. SAN LUIS TALPA           ,C-119-111,59
23/4/2020,14R70228270,14 - NIXAPA                        ,AB - RANSA                         ,C-119-111,14
23/4/2020,94R70055051,94 - C.D. SAN LUIS TALPA           ,14 - NIXAPA                        ,C-119-111,59
24/4/2020,06R70123463,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-111,62
24/4/2020,90R70017541,AB - RANSA                         ,14 - NIXAPA                        ,C-119-111,7
25/4/2020,08R70012389,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-111,21
25/4/2020,14R70228435,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-111,20
25/4/2020,14R70228457,14 - NIXAPA                        ,94 - C.D. SAN LUIS TALPA           ,C-119-111,59
25/4/2020,14R70228470,14 - NIXAPA                        ,AB - RANSA                         ,C-119-111,14
25/4/2020,94R70055068,94 - C.D. SAN LUIS TALPA           ,14 - NIXAPA                        ,C-119-111,59
26/4/2020,01R71087182,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
26/4/2020,06R70123484,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-111,62
26/4/2020,14R70228359,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
26/4/2020,14R70228385,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-111,61
20/4/2020,01R71086622,01 - PLANTA SOYAPANGO              ,11 - CHALATENANGO                  ,C-119-460,52
20/4/2020,08R70012337,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-460,21
20/4/2020,08R70012343,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-460,21
20/4/2020,14R70228047,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-460,20
20/4/2020,14R70228111,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
20/4/2020,91R70003060,TA - Taller Arianita,14 - NIXAPA                        ,C-119-460,19.5
20/4/2020,91R70003084,TA - Taller Arianita,14 - NIXAPA                        ,C-119-460,19.5
21/4/2020,08R70012356,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-460,21
21/4/2020,11R70057436,11 - CHALATENANGO                  ,14 - NIXAPA                        ,C-119-460,44
21/4/2020,14R70228114,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-460,20
21/4/2020,14R70228125,14 - NIXAPA                        ,94 - C.D. SAN LUIS TALPA           ,C-119-460,59
