fecha,remision,origen,destino,placa,kilometros
9/4/2020,01R71085781,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
9/4/2020,06R70123308,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-111,62
9/4/2020,14R70227616,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
11/4/2020,06R70123318,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-111,62
11/4/2020,14R70227578,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-111,61
6/4/2020,07R70077984,07 - USULUTAN                      ,14 - NIXAPA                        ,C-119-460,135
6/4/2020,14R70227358,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
6/4/2020,14R70227417,14 - NIXAPA                        ,07 - USULUTAN                      ,C-119-460,140
7/4/2020,01R71085436,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-460,19
7/4/2020,01R71085529,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
7/4/2020,06R70123289,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-460,62
7/4/2020,14R70227457,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
7/4/2020,14R70227469,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-460,61
7/4/2020,95R70007371,AW - WALLMART                      ,14 - NIXAPA                        ,C-119-460,8
8/4/2020,01R71085633,01 - PLANTA SOYAPANGO              ,93 - C.DE VENTAS SAN RAFAEL CEDROS ,C-119-460,36
8/4/2020,01R71085647,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-460,19
8/4/2020,01R71085649,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-460,19
8/4/2020,14R70227397,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
8/4/2020,14R70227526,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
8/4/2020,14R70227557,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-460,29
8/4/2020,93R70067924,93 - C.DE VENTAS SAN RAFAEL CEDROS ,14 - NIXAPA                        ,C-119-460,57
8/4/2020,95R70007382,AW - WALLMART                      ,14 - NIXAPA                        ,C-119-460,8
9/4/2020,01R71085717,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
9/4/2020,04R70261950,04 - SANTA ANA                     ,14 - NIXAPA                        ,C-119-460,55
9/4/2020,14R70227503,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-460,20
9/4/2020,14R70227543,14 - NIXAPA                        ,04 - SANTA ANA                     ,C-119-460,54
11/4/2020,06R70123326,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-460,62
11/4/2020,08R70012281,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-460,21
11/4/2020,14R70227609,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-460,61
11/4/2020,14R70227617,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-460,20
6/4/2020,08R70012243,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-458,21
6/4/2020,08R70012245,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-458,21
6/4/2020,14R70227402,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-458,20
6/4/2020,14R70227403,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-458,20
6/4/2020,14R70227458,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
7/4/2020,01R71085537,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-458,24
7/4/2020,08R70012251,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-458,21
7/4/2020,14R70227405,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-458,20
7/4/2020,14R70227512,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
